ID,PROGRAMA,N_PERIODOS,SECUENCIA_ESTADOS,SECUENCIA_TRANSICIONES,ESTADO_FINAL_PRED,ESTADO_FINAL_REAL
T00067543,INGENIERIA CIVIL,9,Primera vez en una carrera → Continuo regular → Continuo regular → PAP → PAT → Recuperación académica → Continuo regular → PAP → Continuo regular,aabbeabac,Grado,Grado
T00067544,INGENIERIA DE SISTEMAS Y COMPU,2,Primera vez en una carrera → Continuo regular,ac,Grado,Grado
T00067545,INGENIERIA MECATRONICA,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00067548,INGENIERIA ELECTRONICA,7,Primera vez en una carrera → Continuo regular → PAP → Continuo regular → Continuo regular → PAP → Continuo regular,abaabac,Grado,Grado
T00067549,INGENIERIA ELECTRONICA,9,Primera vez en una carrera → PAP → PAT → Recuperación académica → Recuperación académica → Recuperación académica → Recuperación académica → Primera vez en una carrera → PAP,bbeeeeebk,Final,Final
T00067551,DERECHO,8,Primera vez en una carrera → PAP → PAT → Recuperación académica → Primera vez en una carrera → Continuo regular → PAP → Continuo regular,bbekabac,Grado,Grado
T00067552,INGENIERIA DE SISTEMAS Y COMPU,8,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → PAP → PAT → Continuo regular → Continuo regular,aaabbakc,Grado,Grado
T00067554,INGENIERIA CIVIL,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00067557,INGENIERIA AMBIENTAL,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00067559,INGENIERIA NAVAL,8,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → PAP → PAT → Recuperación académica → Continuo regular,aaabbeac,Grado,Grado
T00067560,CIENCIA POLITICA Y RELAC INTER,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00067566,FINANZAS Y NEGOCIOS INTERNACIO,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00067567,INGENIERIA MECATRONICA,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00067573,INGENIERIA DE SISTEMAS Y COMPU,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00067575,ECONOMIA,8,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaakaaac,Grado,Grado
T00067580,FINANZAS Y NEGOCIOS INTERNACIO,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00067591,FINANZAS Y NEGOCIOS INTERNACIO,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00067600,INGENIERIA MECANICA,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00067602,INGENIERIA DE SISTEMAS Y COMPU,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00067603,INGENIERIA NAVAL,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00067604,INGENIERIA CIVIL,7,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → PAP → PAT,aaaabbc,Grado,Grado
T00067608,ECONOMIA,7,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaac,Grado,Grado
T00067611,INGENIERIA DE SISTEMAS Y COMPU,4,Primera vez en una carrera → Continuo regular → PAP → PAT,abbc,Grado,Grado
